,Unnamed: 0,name,cost,competitive rate,code,date
320,320,윙입푸드,"2,000",0.71:1,900340,  2018.11.30
321,321,하나머스트스팩6호,"2,000",69.81:1,307160,  2018.11.30
322,322,베스파,"35,000",3.30:1,299910,  2018.12.03
323,323,에코캡,"4,200",0.35:1,128540,  2018.12.05
324,324,엠아이텍,"4,500",883.39:1,179290,  2018.11.29
325,325,네오펙트,"11,000",400.8:1,290660,  2018.11.28
326,326,티로보틱스,"16,000",177.86:1,117730,  2018.11.29
327,327,남화산업,"3,700",858.4:1,111710,  2018.11.29
328,328,티앤알바이오팹,"18,000",500.35:1,246710,  2018.11.28
329,329,아시아나IDT,"15,000",1.21:1,267850,  2018.11.23
330,330,아주IB투자,"1,500",63.76:1,27360,  2018.11.21
331,331,싸이토젠,"17,000",705.49:1,217330,  2018.11.22
332,332,디알젬,"6,500",832.96:1,263690,  2018.11.22
333,333,파멥신,"60,000",322.78:1,208340,  2018.11.21
334,334,디자인,"10,100",665.04:1,227100,  2018.11.15
335,335,디케이앤디,"6,000",975.69:1,263020,  2018.11.20
336,336,노바렉스,"19,000",631.42:1,194700,  2018.11.14
337,337,셀리버리,"25,000",808.45:1,268600,  2018.11.09
338,338,대보마그네틱,"31,000",837.58:1,290670,  2018.11.06
339,339,엘앤씨바이오,"24,000",985.59:1,290650,  2018.11.01
340,340,노바텍,"10,000",326.67:1,285490,  2018.11.02
341,341,디비금융스팩6호,"2,000",42.15:1,306620,  2018.10.31
342,342,로보티즈,"14,000",1043.92:1,108490,  2018.10.26
343,343,옵티팜,"10,000",463.49:1,153710,  2018.10.26
344,344,에스퓨얼셀,"16,500",857.78:1,288620,  2018.10.15
345,345,푸드나무,"24,000",914.05:1,290720,  2018.10.04
346,346,크리스에프앤씨,"30,000",0.53:1,110790,  2018.10.01
347,347,나우아이비캐피탈,"8,500",64.89:1,293580,  2018.10.04
348,348,하나제약,"26,000",147.5:1,293480,  2018.10.02
349,349,IBKS스팩10호,"2,000",200.32:1,299170,  2018.09.21
350,350,지티지웰니스,"11,000",514.16:1,219750,  2018.09.21
351,351,우진아이엔에스,"15,000",11.17:1,10400,  2018.09.14
352,352,명성티엔에스,"20,000",804.79:1,257370,  2018.09.13
353,353,삼성스팩2호,"2,000",20.65:1,291230,  2018.09.13
354,354,디지캡,"12,000",931.79:1,197140,  2018.09.07
355,355,대신밸런스스팩5호,"2,000",93.50:1,303030,  2018.08.30
356,356,액트로,"20,000",545.42:1,290740,  2018.08.28
357,357,에이피티씨,"9,000",22.69:1,89970,  2018.08.23
358,358,오파스넷,"11,000",1401.36:1,173130,  2018.08.24
359,359,바이오솔루션,"29,000",302.62:1,86820,  2018.08.20
360,360,대유,"9,000",11.65:1,290380,  2018.08.10
361,361,에스에스알,"9,000",1231.66:1,275630,  2018.08.06
362,362,디아이티,"10,000",11.10:1,110990,  2018.08.07
363,363,휴네시온,"10,000",827.74:1,290270,  2018.08.02
364,364,신한알파리츠,"5,000",4.32:1,293940,  2018.08.08
365,365,티웨이항공,"12,000",1.15:1,91810,  2018.08.01
366,366,한국유니온제약,"18,000",1015.13:1,80720,  2018.07.26
367,367,롯데정보통신,"29,800",34.22:1,286940,  2018.07.27
368,368,엠코르셋,"11,500",51.47:1,204020,  2018.07.23
370,370,올릭스,"36,000",847.09:1,226950,  2018.07.18
371,371,아이큐어,"65,000",331.42:1,175250,  2018.07.12
372,372,에스브이인베스트먼트,"7,000",974.23:1,289080,  2018.07.06
373,373,이원다이애그노믹스,"6,500",810.33:1,245620,  2018.06.26
374,374,이리츠코크렙기업,"5,000",0.45:1,88260,  2018.06.27
375,375,파워넷,"6,500",1144:1,37030,  2018.06.07
376,376,하나금융스팩11호,"2,000",0.36:1,284620,  2018.06.08
377,377,현대사료,"6,600",1690:1,16790,  2018.06.01
